Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User

14 January 2021 at 15:52:25 ,47.806646,7.175200,0.001144,-0.631973,-0.782562
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002304,-0.631058,-0.780441
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002747,-0.633316,-0.776291
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002151,-0.633408,-0.771652
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004822,-0.632675,-0.770813
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.006851,-0.632172,-0.770035
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.006790,-0.630325,-0.768021
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005920,-0.629349,-0.766251
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.003128,-0.631454,-0.767471
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004547,-0.633194,-0.774399
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005814,-0.634308,-0.785004
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005005,-0.633987,-0.791122
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.003616,-0.632721,-0.790024
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.001312,-0.633621,-0.786606
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.000305,-0.632767,-0.785110
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.001221,-0.634857,-0.783218
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004730,-0.634476,-0.780350
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005676,-0.634506,-0.778595
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.006393,-0.633438,-0.774231
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005844,-0.631439,-0.773300
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005722,-0.630371,-0.773346
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005905,-0.630798,-0.775482
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004135,-0.632324,-0.773270
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005127,-0.632889,-0.775253
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.003052,-0.631256,-0.779099
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.002594,-0.631882,-0.780106
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.003616,-0.632828,-0.779739
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004227,-0.632919,-0.778656
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.004486,-0.632034,-0.780060
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.005737,-0.632309,-0.780411
14 January 2021 at 15:52:25 ,47.806646,7.175200,0.006210,-0.632660,-0.779846
